cruise,station,type,target_depth,filtration,depth,replicate,vol_filt,o_scale,o_blank,o_blank_uncert,o_read,o_read_uncert,a_scale,a_blank,a_blank_uncert,a_read,a_read_uncert
AM,1,ctd,surface,total,1.044,1,100,100,0,0,4.2,0.1,316,0,0,2.2,0.1
AM,1,ctd,surface,total,1.044,2,100,100,0,0,4.4,0.1,316,0,0,2.3,0.1
AM,1,ctd,mid,total,12.937,1,100,31.6,0,0,2.4,0.1,316,0,0,4.4,0.1
AM,1,ctd,mid,total,12.937,2,100,31.6,0,0,2.4,0.1,316,0,0,4.2,0.1
AM,1,ctd,deep,total,34.03,1,100,1000,0,0,5.2,0.1,31600,2.3,0.1,6,0.1
AM,1,ctd,deep,total,34.03,2,100,1000,0,0,4.7,0.1,31600,2.3,0.1,5.9,0.1
AM,M,ctd,surface,total,0.994,1,100,31.6,0,0,2.2,0.1,316,0,0,3.6,0.1
AM,M,ctd,surface,total,0.994,2,100,31.6,0,0,2.1,0.1,316,0,0,3.6,0.1
AM,M,ctd,mid,total,11.03,1,100,100,0,0,2.9,0.1,1000,0,0,6.4,0.1
AM,M,ctd,mid,total,11.03,2,100,100,0,0,3,0.1,1000,0,0,6.3,0.1
AM,M,ctd,deep,total,27.434,1,100,316,0,0,5.1,0.1,1000,0,0,4.4,0.1
AM,M,ctd,deep,total,27.434,2,100,316,0,0,4.9,0.1,1000,0,0,4.4,0.1
PM,1,inline,inline,filtered,1.5,1,100,31600,2.2,0.1,3.4,0.1,31600,2.2,0.1,2.4,0.1
PM,1,inline,inline,total,1.5,1,100,100,0,0,3.2,0.1,1000,0,0,5.7,0.1
PM,1,ctd,surface,total,0.855,1,100,100,0,0,4.1,0.1,316,0,0,2.4,0.1
PM,1,ctd,surface,total,0.855,2,100,100,0,0,4.1,0.1,316,0,0,2.3,0.1
PM,1,ctd,mid,total,15.44,1,100,100,0,0,5.2,0.1,316,0,0,3.1,0.1
PM,1,ctd,mid,total,15.44,2,100,100,0,0,5.2,0.1,316,0,0,3,0.1
PM,1,ctd,deep,total,38.18,1,100,1000,0,0,3.8,0.1,31600,2.2,0.1,4.8,0.1
PM,1,ctd,deep,total,38.18,2,100,1000,0,0,4,0.1,31600,2.2,0.1,5.6,0.1
PM,M,inline,inline,filtered,1.5,1,100,31600,2.2,0.1,3.8,0.1,31600,2.2,0.1,2.4,0.1
PM,M,inline,inline,total,1.5,1,100,31.6,0,0,5.2,0.1,100,0,0,2.4,0.1
PM,M,ctd,surface,total,1.097,1,100,31.6,0,0,4.2,0.1,100,0,0,2,0.1
PM,M,ctd,surface,total,1.097,2,100,31.6,0,0,4.5,0.1,100,0,0,2.2,0.1
PM,M,ctd,mid,total,10.376,1,100,100,0,0,3.6,0.1,316,0,0,2.2,0.1
PM,M,ctd,mid,total,10.376,2,100,100,0,0,3.6,0.1,316,0,0,2.3,0.1
PM,M,ctd,deep,total,27.899,1,100,316,0,0,6.6,0.1,1000,0,0,4.9,0.1
PM,M,ctd,deep,total,27.899,2,100,316,0,0,6.7,0.1,1000,0,0,5.1,0.1