,a,z,ed,lu
run3,0.3,0,1.28E+00,6.55E-03
run3,0.3,5,1.64E-01,8.82E-04
run3,0.3,10,1.83E-02,9.93E-05
run3,0.3,15,1.99E-03,1.09E-05
run3,0.3,20,2.17E-04,1.18E-06
run3,0.3,25,2.35E-05,1.28E-07
run3,0.3,30,2.56E-06,1.39E-08
run3,0.3,35,2.78E-07,1.51E-09
run3,0.3,40,3.05E-08,1.66E-10
run3,0.3,45,3.31E-09,1.80E-11
run3,0.3,50,3.60E-10,1.96E-12
run5,0.36,0,1.28E+00,5.35E-03
run5,0.36,5,1.15E-01,5.04E-04
run5,0.36,10,9.00E-03,3.99E-05
run5,0.36,15,6.93E-04,3.07E-06
run5,0.36,20,5.32E-05,2.36E-07
run5,0.36,25,4.09E-06,1.81E-08
run5,0.36,30,3.14E-07,1.39E-09
run5,0.36,35,2.41E-08,1.07E-10
run5,0.36,40,1.85E-09,8.20E-12
run5,0.36,45,1.42E-10,6.30E-13
run5,0.36,50,1.09E-11,4.83E-14
run4,0.24,0,1.29E+00,8.43E-03
run4,0.24,5,2.35E-01,1.63E-03
run4,0.24,10,3.75E-02,2.62E-04
run4,0.24,15,5.84E-03,4.10E-05
run4,0.24,20,9.05E-04,6.35E-06
run4,0.24,25,1.40E-04,9.83E-07
run4,0.24,30,2.16E-05,1.52E-07
run4,0.24,35,3.35E-06,2.35E-08
run4,0.24,40,5.18E-07,3.63E-09
run4,0.24,45,8.01E-08,5.62E-10
run4,0.24,50,1.24E-08,8.68E-11